Option_Name,Asset_Class,Name,Currency,Security_Identifier,Dollar_Value,Weighting_Percentage,Listing_Status,Super_Fund,Weighting_Percentage_Clean
Asset-class_Australian_Shares_Index_Superannuation,Equity,Orora,,ORA AU,8739333.0,0.11,Listed,ART,0.10858166227569249
Asset-class_Australian_Shares_Index_Superannuation,Equity,Sims,,SGM AU,8603929.0,0.11,Listed,ART,0.10689933807557586
Asset-class_Australian_Shares_Index_Superannuation,Equity,Eagers Automotive,,APE AU,8415982.0,0.1,Listed,ART,0.1045641944576671
Asset-class_Australian_Shares_Index_Superannuation,Equity,Alcoa,,AAI AU,8171849.0,0.1,Listed,ART,0.1015309690437423
Asset-class_Australian_Shares_Index_Superannuation,Equity,Westgold Resources,,WGX AU,7882962.0,0.1,Listed,ART,0.09794169848157948
Asset-class_Australian_Shares_Index_Superannuation,Equity,Flight Centre Travel,,FLT AU,7878777.0,0.1,Listed,ART,0.09788970203555508
Asset-class_Australian_Shares_Index_Superannuation,Equity,Droneshield,,DRO AU,7796858.0,0.1,Listed,ART,0.09687190111276583
Asset-class_Australian_Shares_Index_Superannuation,Equity,Super Retail,,SUL AU,7591157.0,0.09,Listed,ART,0.09431617328871197
Asset-class_Australian_Shares_Index_Superannuation,Equity,Arb,,ARB AU,7483687.0,0.09,Listed,ART,0.0929809144943888
Asset-class_Australian_Shares_Index_Superannuation,Equity,Lovisa,,LOV AU,7305776.0,0.09,Listed,ART,0.09077046295110389
Asset-class_Australian_Shares_Index_Superannuation,Equity,West African Resources,,WAF AU,7241759.0,0.09,Listed,ART,0.0899750850574016
Asset-class_Australian_Shares_Index_Superannuation,Equity,Graincorp,,GNC AU,7185054.0,0.09,Listed,ART,0.08927055495660978
Asset-class_Australian_Shares_Index_Superannuation,Equity,Nine Entertainment,,NEC AU,7093633.0,0.09,Listed,ART,0.08813469663116251
Asset-class_Australian_Shares_Index_Superannuation,Equity,Perpetual,,PPT AU,6998721.0,0.09,Listed,ART,0.08695546444835056
Asset-class_Australian_Shares_Index_Superannuation,Equity,Megaport,,MP1 AU,6943676.0,0.09,Listed,ART,0.08627155898325779
Asset-class_Australian_Shares_Index_Superannuation,Equity,Austal,,ASB AU,6715601.0,0.08,Listed,ART,0.08343784585852293
Asset-class_Australian_Shares_Index_Superannuation,Equity,Auckland Airport,,AIA AU,6620726.0,0.08,Listed,ART,0.08225907338144643
Asset-class_Australian_Shares_Index_Superannuation,Equity,Emerald Resources Nl,,EMR AU,6374666.0,0.08,Listed,ART,0.07920190599583968
Asset-class_Australian_Shares_Index_Superannuation,Equity,Codan,,CDA AU,6370674.0,0.08,Listed,ART,0.07915230747432728
Asset-class_Australian_Shares_Index_Superannuation,Equity,Helia,,HLI AU,6243992.0,0.08,Listed,ART,0.077578349582986
Asset-class_Australian_Shares_Index_Superannuation,Equity,Karoon Energy,,KAR AU,6169861.0,0.08,Listed,ART,0.07665731050527155
Asset-class_Australian_Shares_Index_Superannuation,Equity,Temple & Webster,,TPW AU,6141639.0,0.08,Listed,ART,0.0763066668494291
Asset-class_Australian_Shares_Index_Superannuation,Equity,Corporate Travel Management,,CTD AU,6057702.0,0.08,Listed,ART,0.07526379332733825
Asset-class_Australian_Shares_Index_Superannuation,Equity,Chorus,,CNU AU,5787058.0,0.07,Listed,ART,0.07190118254171622
Asset-class_Australian_Shares_Index_Superannuation,Equity,Mesoblast,,MSB AU,5758448.0,0.07,Listed,ART,0.0715457181878911
Asset-class_Australian_Shares_Index_Superannuation,Equity,Deep Yellow,,DYL AU,5715991.0,0.07,Listed,ART,0.07101821206868966
Asset-class_Australian_Shares_Index_Superannuation,Equity,Premier Investments,,PMV AU,5694594.0,0.07,Listed,ART,0.07075236548432069
Asset-class_Australian_Shares_Index_Superannuation,Equity,Deterra Royalties,,DRR AU,5614659.0,0.07,Listed,ART,0.0697592147285356
Asset-class_Australian_Shares_Index_Superannuation,Equity,Champion Iron,,CIA AU,5530140.0,0.07,Listed,ART,0.06870911015947076
Asset-class_Australian_Shares_Index_Superannuation,Equity,Iluka Resources,,ILU AU,5516468.0,0.07,Listed,ART,0.06853924267797838
Asset-class_Australian_Shares_Index_Superannuation,Equity,Spartan Resources,,SPR AU,5489580.0,0.07,Listed,ART,0.06820517327757118
Asset-class_Australian_Shares_Index_Superannuation,Equity,Bapcor,,BAP AU,5363895.0,0.07,Listed,ART,0.06664360259212866
Asset-class_Australian_Shares_Index_Superannuation,Equity,Pexa,,PXA AU,5321472.0,0.07,Listed,ART,0.06611651890522467
Asset-class_Australian_Shares_Index_Superannuation,Equity,Magellan Financial,,MFG AU,5128513.0,0.06,Listed,ART,0.06371910379687998
Asset-class_Australian_Shares_Index_Superannuation,Equity,Web Travel,,WEB AU,5071986.0,0.06,Listed,ART,0.06301678525341012
Asset-class_Australian_Shares_Index_Superannuation,Equity,Tabcorp,,TAH AU,5056485.0,0.06,Listed,ART,0.06282419339921078
Asset-class_Australian_Shares_Index_Superannuation,Equity,Neuren Pharmaceuticals,,NEU AU,4945183.0,0.06,Listed,ART,0.061441324000069096
Asset-class_Australian_Shares_Index_Superannuation,Equity,Domino'S Pizza Enterprises,,DMP AU,4483010.0,0.06,Listed,ART,0.05569906511155396
Asset-class_Australian_Shares_Index_Superannuation,Equity,Iress,,IRE AU,4467343.0,0.06,Listed,ART,0.05550441079378471
Asset-class_Australian_Shares_Index_Superannuation,Equity,Inghams,,ING AU,4426803.0,0.06,Listed,ART,0.05500072240147187
Asset-class_Australian_Shares_Index_Superannuation,Equity,Nrw,,NWH AU,4333069.0,0.05,Listed,ART,0.05383612625531863
Asset-class_Australian_Shares_Index_Superannuation,Equity,Bellevue Gold,,BGL AU,4317982.0,0.05,Listed,ART,0.05364867813556472
Asset-class_Australian_Shares_Index_Superannuation,Equity,Liontown Resources,,LTR AU,4212067.0,0.05,Listed,ART,0.052332739406610235
Asset-class_Australian_Shares_Index_Superannuation,Equity,Nexgen Energy,,NXG AU,4193822.0,0.05,Listed,ART,0.052106054781110786
Asset-class_Australian_Shares_Index_Superannuation,Equity,Monadelphous,,MND AU,4090090.0,0.05,Listed,ART,0.05081723869054847
Asset-class_Australian_Shares_Index_Superannuation,Equity,Nickel Industries,,NIC AU,4078886.0,0.05,Listed,ART,0.050678034824059255
Asset-class_Australian_Shares_Index_Superannuation,Equity,Evt,,EVT AU,4020276.0,0.05,Listed,ART,0.0499498360901309
Asset-class_Australian_Shares_Index_Superannuation,Equity,Iph,,IPH AU,3977249.0,0.05,Listed,ART,0.0494152480177075
Asset-class_Australian_Shares_Index_Superannuation,Equity,Elders,,ELD AU,3895185.0,0.05,Listed,ART,0.04839564554541442
Asset-class_Australian_Shares_Index_Superannuation,Equity,Bega Cheese,,BGA AU,3876784.0,0.05,Listed,ART,0.04816702270113843
Asset-class_Australian_Shares_Index_Superannuation,Equity,Resolute Mining,,RSG AU,3687593.0,0.05,Listed,ART,0.04581642303093471
Asset-class_Australian_Shares_Index_Superannuation,Equity,Data#3,,DTL AU,3657715.0,0.05,Listed,ART,0.04544520443731055
Asset-class_Australian_Shares_Index_Superannuation,Equity,Adriatic Metals,,ADT AU,3405872.0,0.04,Listed,ART,0.042316186287699224
Asset-class_Australian_Shares_Index_Superannuation,Equity,Judo Capital,,JDO AU,3347090.0,0.04,Listed,ART,0.04158585054332494
Asset-class_Australian_Shares_Index_Superannuation,Equity,Amotiv,,AOV AU,3337574.0,0.04,Listed,ART,0.0414676191979562
Asset-class_Australian_Shares_Index_Superannuation,Equity,Capstone Copper,,CSC AU,3326708.0,0.04,Listed,ART,0.0413326148054828
Asset-class_Australian_Shares_Index_Superannuation,Equity,Nick Scali,,NCK AU,3321909.0,0.04,Listed,ART,0.04127298972914562
Asset-class_Australian_Shares_Index_Superannuation,Equity,Nanosonics,,NAN AU,3315710.0,0.04,Listed,ART,0.04119597038173695
Asset-class_Australian_Shares_Index_Superannuation,Equity,Nufarm,,NUF AU,3272115.0,0.04,Listed,ART,0.04065432520505027
Asset-class_Australian_Shares_Index_Superannuation,Equity,News,,NWS AU,3218775.0,0.04,Listed,ART,0.03999160347722671
Asset-class_Australian_Shares_Index_Superannuation,Equity,Imdex,,IMD AU,3207258.0,0.04,Listed,ART,0.039848510748705074
Asset-class_Australian_Shares_Index_Superannuation,Equity,Service Stream,,SSM AU,3185080.0,0.04,Listed,ART,0.039572960645974084
