PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCHGSC] - ASSETS - 2025-06-30,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
LISTED EQUITY,-,-,-,-,ABBOTT LABORATORIES,-,ABT US,-,,"7,491","$1,554,678",0.17%,
LISTED EQUITY,-,-,-,-,COMPUTERSHARE LTD.,-,CPU AU,-,,"38,601","$1,539,794",0.16%,
LISTED EQUITY,-,-,-,-,AMERICAN EXPRESS CO.,-,AXP US,-,,"3,140","$1,528,252",0.16%,
LISTED EQUITY,-,-,-,-,NETWEALTH GROUP LTD.,-,NWL AU,-,,"45,422","$1,525,739",0.16%,
LISTED EQUITY,-,-,-,-,NOVO NORDISK AS,-,NOVOB DC,-,,"14,434","$1,523,289",0.16%,
LISTED EQUITY,-,-,-,-,CHAMPION IRON LTD.,-,CIA AU,-,,"361,241","$1,506,375",0.16%,
LISTED EQUITY,-,-,-,-,CLEANAWAY WASTE MANAGEMENT LTD.,-,CWY AU,-,,"550,572","$1,497,556",0.16%,
LISTED EQUITY,-,-,-,-,"INTUIT, INC.",-,INTU US,-,,"1,242","$1,492,244",0.16%,
LISTED EQUITY,-,-,-,-,RAMSAY HEALTH CARE LTD.,-,RHC AU,-,,"40,366","$1,481,058",0.16%,
LISTED EQUITY,-,-,-,-,ALCOA CORP.,-,AAI AU,-,,"32,836","$1,477,649",0.16%,
LISTED EQUITY,-,-,-,-,RAMELIUS RESOURCES LTD.,-,RMS AU,-,,"584,711","$1,473,472",0.16%,
LISTED EQUITY,-,-,-,-,CODAN LTD.,-,CDA AU,-,,"71,935","$1,446,608",0.15%,
LISTED EQUITY,-,-,-,-,SONIC HEALTHCARE LTD.,-,SHL AU,-,,"53,984","$1,446,241",0.15%,
LISTED EQUITY,-,-,-,-,ILUKA RESOURCES LTD.,-,ILU AU,-,,"379,782","$1,443,173",0.15%,
