PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCBGRO] - ASSETS - 2025-06-30,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
FIXED INCOME,INTERNALLY,-,SOUTH AUSTRALIAN GOVERNMENT FINANCING AUTHORITY,-,-,-,-,-,,,"$1,566,778",0.01%,
FIXED INCOME,INTERNALLY,-,INTERNATIONAL BANK FOR RECONSTRUCTION & DEVELOPMENT,-,-,-,-,-,,,"$1,510,764",0.01%,
FIXED INCOME,INTERNALLY,-,ASIAN DEVELOPMENT BANK,-,-,-,-,-,,,"$1,483,197",0.01%,
FIXED INCOME,INTERNALLY,-,TEACHERS MUTUAL BANK LTD.,-,-,-,-,-,,,"$1,362,803",0.01%,
FIXED INCOME,INTERNALLY,-,THE SUPERANNUATION MEMBERS HOME LOAN PROGRAMME,-,-,-,-,-,,,"$1,193,188",0.00%,
FIXED INCOME,INTERNALLY,-,SCT LOGISTICS,-,-,-,-,-,,,"$1,100,180",0.00%,
FIXED INCOME,INTERNALLY,-,PINNACLE TRUST,-,-,-,-,-,,,"$1,020,843",0.00%,
FIXED INCOME,INTERNALLY,-,VOLKSWAGEN FINANCIAL SERVICES AUSTRALIA PTY LTD,-,-,-,-,-,,,"$787,703",0.00%,
FIXED INCOME,INTERNALLY,-,VICINITY CENTRES TRUST,-,-,-,-,-,,,"$726,970",0.00%,
FIXED INCOME,INTERNALLY,-,SCENTRE GROUP TRUST 2,-,-,-,-,-,,,"$702,390",0.00%,
FIXED INCOME,INTERNALLY,-,GPT WHOLESALE OFFICE FUND NO1,-,-,-,-,-,,,"$629,844",0.00%,
FIXED INCOME,INTERNALLY,-,THINK TANK TRUST,-,-,-,-,-,,,"$623,948",0.00%,
FIXED INCOME,INTERNALLY,-,SUNCORP GROUP LTD.,-,-,-,-,-,,,"$613,049",0.00%,
FIXED INCOME,INTERNALLY,-,BLUESTONE PRIME TRUST,-,-,-,-,-,,,"$431,369",0.00%,
FIXED INCOME,INTERNALLY,-,KREDITANSTALT FUER WIEDERAUFBAU,-,-,-,-,-,,,"$399,788",0.00%,
FIXED INCOME,INTERNALLY,-,MORTGAGE HOUSE CAPITAL MORTGAGE TRUST,-,-,-,-,-,,,"$212,245",0.00%,
FIXED INCOME,INTERNALLY,-,AUSTRALIAN NATIONAL UNIVERSITY,-,-,-,-,-,,,"$205,938",0.00%,
FIXED INCOME,INTERNALLY,-,JEM SOUTHBANK PTY LTD,-,-,-,-,-,,,"$114,770",0.00%,
FIXED INCOME,INTERNALLY,-,BROADCOM CORP.,-,-,-,-,-,,,"$55,837",0.00%,
FIXED INCOME,INTERNALLY,-,"BAXTER INTERNATIONAL, INC.",-,-,-,-,-,,,"$49,842",0.00%,
FIXED INCOME,INTERNALLY,-,KANSAS CITY SOUTHERN RAILWAY CO.,-,-,-,-,-,,,"$46,205",0.00%,
FIXED INCOME,INTERNALLY,-,AXIOM EDUCATION PTY LTD,-,-,-,-,-,,,"$35,046",0.00%,
FIXED INCOME,INTERNALLY,-,MPC FUNDING LTD.,-,-,-,-,-,,,"$11,235",0.00%,
FIXED INCOME,INTERNALLY,-,"LEHMAN BROTHERS HOLDINGS, INC.",-,-,-,-,-,,,$91,0.00%,
FIXED INCOME,INTERNALLY,-,GSR MORTGAGE LOAN TRUST,-,-,-,-,-,,,$40,0.00%,
FIXED INCOME,INTERNALLY,-,HOME EQUITY ASSET TRUST,-,-,-,-,-,,,$12,0.00%,
SUB TOTAL FIXED INCOME INTERNALLY,,,,,,,,,,,"$2,551,353,256.00",10.69%,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,ANCORA BIDCO B PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,ANDANTE FINANCE COMPANY PTY LIMITED,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,APOG BIDCO PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,AUSTRALIAN SALES FINANCE AND CREDIT CARDS TRUST NO. 3,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,BLANALKO PTY LTD AS TRUSTEE FOR THE BLANALKO SCT PROPERTY TRUST,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,CIRRUS HOLDINGS 2 PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,CREDABL WAREHOUSE TRUST NO.1,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,CREDABL WAREHOUSE TRUST NO.2,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,CX BIDCO PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,DBG CONSOLIDATED HOLDINGS PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,DEVICE TECHNOLOGIES AUSTRALIA PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,ENWERD PTY LTD AS TRUSTEE FOR THE N & W WERDIGER FAMILY TRUST,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,FP TURBO WAREHOUSE TRUST 2021-1,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,HARRIS FARM MARKETS FINANCE PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,HIREPOOL FINANCE LIMITED,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,JAYBRO GROUP,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,JNZ FINCO LIMITED,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,KINETIC HOLDING COMPANY PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,KINETIC NZ HOLDINGS LIMITED,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,LEGAL SOFTWARE PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,METRO FINANCE PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,MOTORONE BIDCO PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,NEWCOLD FINANCING PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,NZ HEALTHCARE INVESTMENTS LIMITED,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,PACIFIC 2023 BIDCO B PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,PAGAC CHICKEN TENDERS HOLDINGS I PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,PEPPER MONEY LIMITED,-,-,-,-,-,,,,,
