PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [VSACCCPSTB] - ASSETS - 2025-06-30,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
FIXED INCOME,INTERNALLY,-,LLOYDS BANKING GROUP PLC,-,-,-,-,-,,,"$1,093,454",0.05%,
FIXED INCOME,INTERNALLY,-,DBS GROUP HOLDINGS LTD.,-,-,-,-,-,,,"$950,126",0.05%,
FIXED INCOME,INTERNALLY,-,ILLAWARRA TRUST,-,-,-,-,-,,,"$914,889",0.04%,
FIXED INCOME,INTERNALLY,-,LENDLEASE FINANCE LTD.,-,-,-,-,-,,,"$794,231",0.04%,
FIXED INCOME,INTERNALLY,-,"CPPIB CAPITAL, INC.",-,-,-,-,-,,,"$745,275",0.04%,
FIXED INCOME,INTERNALLY,-,BANCO SANTANDER SA,-,-,-,-,-,,,"$711,614",0.03%,
FIXED INCOME,INTERNALLY,-,SYDNEY AIRPORT FINANCE CO PTY LTD,-,-,-,-,-,,,"$672,771",0.03%,
FIXED INCOME,INTERNALLY,-,NEWCASTLE GREATER MUTUAL GROUP LTD.,-,-,-,-,-,,,"$655,180",0.03%,
FIXED INCOME,INTERNALLY,-,FLEXI TRUST,-,-,-,-,-,,,"$629,496",0.03%,
FIXED INCOME,INTERNALLY,-,BARTON TRUST,-,-,-,-,-,,,"$602,750",0.03%,
FIXED INCOME,INTERNALLY,-,PEPPER RESIDENTIAL SECURITIES TRUST,-,-,-,-,-,,,"$565,662",0.03%,
FIXED INCOME,INTERNALLY,-,SCENTRE GROUP TRUST 1,-,-,-,-,-,,,"$548,951",0.03%,
FIXED INCOME,INTERNALLY,-,WESTERN AUSTRALIAN TREASURY CORP.,-,-,-,-,-,,,"$534,180",0.03%,
FIXED INCOME,INTERNALLY,-,HERITAGE TRUST,-,-,-,-,-,,,"$497,799",0.02%,
FIXED INCOME,INTERNALLY,-,TEACHERS MUTUAL BANK LTD.,-,-,-,-,-,,,"$393,443",0.02%,
FIXED INCOME,INTERNALLY,-,INTER-AMERICAN INVESTMENT CORP.,-,-,-,-,-,,,"$370,867",0.02%,
FIXED INCOME,INTERNALLY,-,THE SUPERANNUATION MEMBERS HOME LOAN PROGRAMME,-,-,-,-,-,,,"$344,475",0.02%,
FIXED INCOME,INTERNALLY,-,ASIAN INFRASTRUCTURE INVESTMENT BANK,-,-,-,-,-,,,"$336,472",0.02%,
FIXED INCOME,INTERNALLY,-,PINNACLE TRUST,-,-,-,-,-,,,"$294,718",0.01%,
FIXED INCOME,INTERNALLY,-,RWH FINANCE PTY LTD,-,-,-,-,-,,,"$288,331",0.01%,
FIXED INCOME,INTERNALLY,-,EUROPEAN INVESTMENT BANK,-,-,-,-,-,,,"$277,347",0.01%,
FIXED INCOME,INTERNALLY,-,WOOLWORTHS GROUP LTD.,-,-,-,-,-,,,"$273,859",0.01%,
FIXED INCOME,INTERNALLY,-,SOUTH AUSTRALIAN GOVERNMENT FINANCING AUTHORITY,-,-,-,-,-,,,"$225,721",0.01%,
FIXED INCOME,INTERNALLY,-,INTERNATIONAL BANK FOR RECONSTRUCTION & DEVELOPMENT,-,-,-,-,-,,,"$217,651",0.01%,
FIXED INCOME,INTERNALLY,-,ASIAN DEVELOPMENT BANK,-,-,-,-,-,,,"$213,680",0.01%,
FIXED INCOME,INTERNALLY,-,GPT WHOLESALE OFFICE FUND NO1,-,-,-,-,-,,,"$181,837",0.01%,
FIXED INCOME,INTERNALLY,-,THINK TANK TRUST,-,-,-,-,-,,,"$180,134",0.01%,
FIXED INCOME,INTERNALLY,-,SUNCORP GROUP LTD.,-,-,-,-,-,,,"$176,988",0.01%,
FIXED INCOME,INTERNALLY,-,BLUESTONE PRIME TRUST,-,-,-,-,-,,,"$124,537",0.01%,
FIXED INCOME,INTERNALLY,-,VICINITY CENTRES TRUST,-,-,-,-,-,,,"$104,732",0.01%,
FIXED INCOME,INTERNALLY,-,SCT LOGISTICS,-,-,-,-,-,,,"$91,992",0.00%,
FIXED INCOME,INTERNALLY,-,VOLKSWAGEN FINANCIAL SERVICES AUSTRALIA PTY LTD,-,-,-,-,-,,,"$81,809",0.00%,
FIXED INCOME,INTERNALLY,-,SCENTRE GROUP TRUST 2,-,-,-,-,-,,,"$72,949",0.00%,
FIXED INCOME,INTERNALLY,-,MORTGAGE HOUSE CAPITAL MORTGAGE TRUST,-,-,-,-,-,,,"$61,275",0.00%,
FIXED INCOME,INTERNALLY,-,KREDITANSTALT FUER WIEDERAUFBAU,-,-,-,-,-,,,"$57,596",0.00%,
FIXED INCOME,INTERNALLY,-,AUSTRALIAN NATIONAL UNIVERSITY,-,-,-,-,-,,,"$29,669",0.00%,
FIXED INCOME,INTERNALLY,-,JEM SOUTHBANK PTY LTD,-,-,-,-,-,,,"$16,535",0.00%,
FIXED INCOME,INTERNALLY,-,AXIOM EDUCATION PTY LTD,-,-,-,-,-,,,"$5,049",0.00%,
FIXED INCOME,INTERNALLY,-,MPC FUNDING LTD.,-,-,-,-,-,,,"$1,619",0.00%,
FIXED INCOME,INTERNALLY,-,"LEHMAN BROTHERS HOLDINGS, INC.",-,-,-,-,-,,,$13,0.00%,
FIXED INCOME,INTERNALLY,-,GSR MORTGAGE LOAN TRUST,-,-,-,-,-,,,$6,0.00%,
FIXED INCOME,INTERNALLY,-,HOME EQUITY ASSET TRUST,-,-,-,-,-,,,$2,0.00%,
SUB TOTAL FIXED INCOME INTERNALLY,,,,,,,,,,,"$424,718,933.00",20.97%,
