PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCGROW] - ASSETS - 2025-06-30,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,WORLEY FINANCIAL SERVICES PTY. LTD.,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,YHA PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,ZEUSS CHILDCARE III PTY LTD,-,-,-,-,-,,,,,
SUB TOTAL FIXED INCOME (PRIVATE DEBT) INTERNALLY,,,,,,,,,,,"$268,340,764.00",1.06%,
FIXED INCOME,EXTERNALLY,-,-,STATE STREET INVESTMENT MANAGEMENT,-,-,-,-,,,"$2,192,120,110",8.58%,
FIXED INCOME,EXTERNALLY,-,-,"BAIN CAPITAL CREDIT, LP",-,-,-,-,,,"$613,554,354",2.40%,
FIXED INCOME,EXTERNALLY,-,-,CHALLENGER LIFE COMPANY LIMITED,-,-,-,-,,,"$233,809,922",0.91%,
FIXED INCOME,EXTERNALLY,-,-,PACIFIC INVESTMENT MANAGEMENT COMPANY LLC,-,-,-,-,,,"$100,090,472",0.39%,
FIXED INCOME,EXTERNALLY,-,-,PAYDEN & RYGEL GLOBAL LIMITED,-,-,-,-,,,"$49,081,822",0.19%,
FIXED INCOME,EXTERNALLY,-,-,WESTBOURNE CREDIT MANAGEMENT LTD,-,-,-,-,,,"$26,408,908",0.10%,
FIXED INCOME,EXTERNALLY,-,-,FLAG ASSET MANAGEMENT PTY LTD,-,-,-,-,,,"$18,159,967",0.07%,
FIXED INCOME,EXTERNALLY,-,-,ARES MANAGEMENT UK LIMITED,-,-,-,-,,,"$10,980,028",0.04%,
FIXED INCOME,EXTERNALLY,-,-,"OAKTREE CAPITAL MANAGEMENT, L.P.",-,-,-,-,,,"$1,556,628",0.01%,
FIXED INCOME,EXTERNALLY,-,-,INTERMEDIATE CAPITAL GROUP PLC,-,-,-,-,,,"$438,982",0.00%,
SUB TOTAL FIXED INCOME EXTERNALLY,,,,,,,,,,,"$3,246,201,193",12.70%,
LISTED EQUITY,-,-,-,-,COMMONWEALTH BANK OF AUSTRALIA,-,CBA AU,-,,"2,458,399","$454,189,147",1.78%,
LISTED EQUITY,-,-,-,-,MICROSOFT CORP.,-,MSFT US,-,,"498,760","$378,558,164",1.48%,
LISTED EQUITY,-,-,-,-,BHP GROUP LTD.,-,BHP AU,-,,"9,485,520","$348,592,862",1.36%,
LISTED EQUITY,-,-,-,-,NVIDIA CORP.,-,NVDA US,-,,"1,167,516","$281,461,428",1.10%,
LISTED EQUITY,-,-,-,-,"AMAZON.COM, INC.",-,AMZN US,-,,"820,198","$274,575,739",1.07%,
LISTED EQUITY,-,-,-,-,CSL LTD.,-,CSL AU,-,,"1,028,676","$246,347,282",0.96%,
LISTED EQUITY,-,-,-,-,"META PLATFORMS, INC.",-,META US,-,,"199,394","$224,567,656",0.88%,
LISTED EQUITY,-,-,-,-,"APPLE, INC.",-,AAPL US,-,,"659,532","$206,479,425",0.81%,
LISTED EQUITY,-,-,-,-,NATIONAL AUSTRALIA BANK LTD.,-,NAB AU,-,,"4,684,581","$184,385,120",0.72%,
LISTED EQUITY,-,-,-,-,WESTPAC BANKING CORP.,-,WBC AU,-,,"5,354,641","$181,308,151",0.71%,
LISTED EQUITY,-,-,-,-,MACQUARIE GROUP LTD.,-,MQG AU,-,,"781,243","$178,693,561",0.70%,
LISTED EQUITY,-,-,-,-,ANZ GROUP HOLDINGS LTD.,-,ANZ AU,-,,"5,185,329","$151,204,209",0.59%,
LISTED EQUITY,-,-,-,-,"ALPHABET, INC.",-,GOOG US,-,,"506,807","$137,182,524",0.54%,
LISTED EQUITY,-,-,-,-,TELSTRA GROUP LTD.,-,TLS AU,-,,"25,600,367","$123,905,779",0.48%,
LISTED EQUITY,-,-,-,-,WESFARMERS LTD.,-,WES AU,-,,"1,367,492","$115,894,947",0.45%,
