PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [VSACCSOCCN] - ASSETS - 2025-06-30,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
LISTED EQUITY,-,-,-,-,ASML HOLDING NV,-,ASML NA,-,,"7,125","$8,647,671",0.32%,
LISTED EQUITY,-,-,-,-,PRO MEDICUS LTD.,-,PME AU,-,,"29,676","$8,460,069",0.31%,
LISTED EQUITY,-,-,-,-,"RESMED, INC.",-,RMD AU,-,,"210,615","$8,287,695",0.30%,
LISTED EQUITY,-,-,-,-,JB HI-FI LTD.,-,JBH AU,-,,"71,599","$7,900,900",0.29%,
LISTED EQUITY,-,-,-,-,"HOME DEPOT, INC.",-,HD US,-,,"13,839","$7,742,127",0.28%,
LISTED EQUITY,-,-,-,-,QANTAS AIRWAYS LTD.,-,QAN AU,-,,"719,099","$7,723,129",0.28%,
LISTED EQUITY,-,-,-,-,BANK OF AMERICA CORP.,-,BAC US,-,,"106,247","$7,671,647",0.28%,
LISTED EQUITY,-,-,-,-,WALT DISNEY CO.,-,DIS US,-,,"39,368","$7,449,467",0.27%,
LISTED EQUITY,-,-,-,-,IGO LTD.,-,IGO AU,-,,"1,715,003","$7,151,562",0.26%,
LISTED EQUITY,-,-,-,-,PERSEUS MINING LTD.,-,PRU AU,-,,"2,080,963","$7,075,275",0.26%,
LISTED EQUITY,-,-,-,-,"VERIZON COMMUNICATIONS, INC.",-,VZ US,-,,"100,705","$6,649,145",0.24%,
LISTED EQUITY,-,-,-,-,CAPITAL ONE FINANCIAL CORP.,-,COF US,-,,"19,986","$6,488,452",0.24%,
LISTED EQUITY,-,-,-,-,"IDEXX LABORATORIES, INC.",-,IDXX US,-,,"7,314","$5,985,640",0.22%,
LISTED EQUITY,-,-,-,-,MEDIBANK PVT LTD.,-,MPL AU,-,,"1,180,466","$5,961,354",0.22%,
LISTED EQUITY,-,-,-,-,EVOLUTION MINING LTD.,-,EVN AU,-,,"764,777","$5,957,612",0.22%,
LISTED EQUITY,-,-,-,-,DEUTSCHE TELEKOM AG,-,DTE GR,-,,"107,015","$5,936,405",0.22%,
LISTED EQUITY,-,-,-,-,NOVARTIS AG,-,NOVN SW,-,,"32,185","$5,933,470",0.22%,
LISTED EQUITY,-,-,-,-,REA GROUP LTD.,-,REA AU,-,,"24,590","$5,913,635",0.22%,
LISTED EQUITY,-,-,-,-,HITACHI LTD.,-,6501 JP,-,,"129,858","$5,768,448",0.21%,
LISTED EQUITY,-,-,-,-,FISHER & PAYKEL HEALTHCARE CORP. LTD.,-,FPH AU,-,,"170,232","$5,724,906",0.21%,
LISTED EQUITY,-,-,-,-,DETERRA ROYALTIES LTD.,-,DRR AU,-,,"1,518,039","$5,707,827",0.21%,
LISTED EQUITY,-,-,-,-,WOOLWORTHS GROUP LTD.,-,WOW AU,-,,"181,053","$5,632,558",0.21%,
LISTED EQUITY,-,-,-,-,"F5, INC.",-,FFIV US,-,,"12,407","$5,572,058",0.21%,
LISTED EQUITY,-,-,-,-,SAP SE,-,SAP GR,-,,"11,958","$5,529,515",0.20%,
LISTED EQUITY,-,-,-,-,"SUMITOMO MITSUI FINANCIAL GROUP, INC.",-,8316 JP,-,,"142,015","$5,451,817",0.20%,
LISTED EQUITY,-,-,-,-,"MSCI, INC.",-,MSCI US,-,,"6,023","$5,300,828",0.20%,
LISTED EQUITY,-,-,-,-,"SALESFORCE, INC.",-,CRM US,-,,"12,620","$5,251,028",0.19%,
LISTED EQUITY,-,-,-,-,PRYSMIAN SPA,-,PRY IM,-,,"48,449","$5,210,308",0.19%,
LISTED EQUITY,-,-,-,-,"ABBVIE, INC.",-,ABBV US,-,,"18,172","$5,146,871",0.19%,
LISTED EQUITY,-,-,-,-,"TJX COS., INC.",-,TJX US,-,,"27,118","$5,109,875",0.19%,
LISTED EQUITY,-,-,-,-,CHALLENGER LTD.,-,CGF AU,-,,"631,928","$5,105,980",0.19%,
LISTED EQUITY,-,-,-,-,AMCOR PLC,-,AMC AU,-,,"357,950","$5,082,897",0.19%,
LISTED EQUITY,-,-,-,-,NORTHERN STAR RESOURCES LTD.,-,NST AU,-,,"272,532","$5,055,464",0.19%,
LISTED EQUITY,-,-,-,-,UNICREDIT SPA,-,UCG IM,-,,"48,759","$4,970,271",0.18%,
LISTED EQUITY,-,-,-,-,TRANE TECHNOLOGIES PLC,-,TT US,-,,"7,268","$4,851,020",0.18%,
LISTED EQUITY,-,-,-,-,BOSTON SCIENTIFIC CORP.,-,BSX US,-,,"29,453","$4,827,276",0.18%,
LISTED EQUITY,-,-,-,-,"BOOKING HOLDINGS, INC.",-,BKNG US,-,,537,"$4,746,067",0.17%,
LISTED EQUITY,-,-,-,-,LAM RESEARCH CORP.,-,LRCX US,-,,"31,771","$4,718,971",0.17%,
LISTED EQUITY,-,-,-,-,"PALO ALTO NETWORKS, INC.",-,PANW US,-,,"14,710","$4,593,383",0.17%,
LISTED EQUITY,-,-,-,-,"QUALCOMM, INC.",-,QCOM US,-,,"18,404","$4,472,495",0.16%,
LISTED EQUITY,-,-,-,-,"ZOETIS, INC.",-,ZTS US,-,,"18,666","$4,441,821",0.16%,
