PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCHGINDX] - ASSETS - 2025-06-30,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
LISTED EQUITY,-,-,-,-,JOHNSON & JOHNSON,-,JNJ US,-,,"11,262","$2,624,852",0.28%,
LISTED EQUITY,-,-,-,-,ORACLE CORP.,-,ORCL US,-,,"7,851","$2,619,191",0.28%,
LISTED EQUITY,-,-,-,-,"HOME DEPOT, INC.",-,HD US,-,,"4,587","$2,565,861",0.27%,
LISTED EQUITY,-,-,-,-,COCHLEAR LTD.,-,COH AU,-,,"8,266","$2,483,307",0.26%,
LISTED EQUITY,-,-,-,-,BANK OF AMERICA CORP.,-,BAC US,-,,"34,235","$2,471,959",0.26%,
LISTED EQUITY,-,-,-,-,"ABBVIE, INC.",-,ABBV US,-,,"8,391","$2,376,596",0.25%,
LISTED EQUITY,-,-,-,-,ASML HOLDING NV,-,ASML NA,-,,"1,840","$2,233,590",0.24%,
LISTED EQUITY,-,-,-,-,SAP SE,-,SAP GR,-,,"4,774","$2,207,239",0.23%,
LISTED EQUITY,-,-,-,-,COCA-COLA CO.,-,KO US,-,,"19,820","$2,139,706",0.23%,
LISTED EQUITY,-,-,-,-,"PALANTIR TECHNOLOGIES, INC.",-,PLTR US,-,,"10,030","$2,086,456",0.22%,
LISTED EQUITY,-,-,-,-,PRO MEDICUS LTD.,-,PME AU,-,,"7,291","$2,078,480",0.22%,
LISTED EQUITY,-,-,-,-,QANTAS AIRWAYS LTD.,-,QAN AU,-,,"192,222","$2,064,465",0.22%,
LISTED EQUITY,-,-,-,-,"UNITEDHEALTH GROUP, INC.",-,UNH US,-,,"4,232","$2,014,780",0.21%,
LISTED EQUITY,-,-,-,-,INTERNATIONAL BUSINESS MACHINES CORP.,-,IBM US,-,,"4,402","$1,980,090",0.21%,
LISTED EQUITY,-,-,-,-,"CISCO SYSTEMS, INC.",-,CSCO US,-,,"18,536","$1,962,329",0.21%,
LISTED EQUITY,-,-,-,-,EVOLUTION MINING LTD.,-,EVN AU,-,,"251,303","$1,957,653",0.21%,
LISTED EQUITY,-,-,-,-,GENERAL ELECTRIC CO.,-,GE US,-,,"4,972","$1,952,953",0.21%,
LISTED EQUITY,-,-,-,-,WELLS FARGO & CO.,-,WFC US,-,,"15,484","$1,892,912",0.20%,
LISTED EQUITY,-,-,-,-,"SALESFORCE, INC.",-,CRM US,-,,"4,535","$1,886,975",0.20%,
LISTED EQUITY,-,-,-,-,NESTLE SA,-,NESN SW,-,,"12,234","$1,848,707",0.20%,
LISTED EQUITY,-,-,-,-,CAR GROUP LTD.,-,CAR AU,-,,"47,772","$1,787,613",0.19%,
LISTED EQUITY,-,-,-,-,MEDIBANK PVT LTD.,-,MPL AU,-,,"349,321","$1,764,071",0.19%,
LISTED EQUITY,-,-,-,-,SIGMA HEALTHCARE LTD.,-,SIG AU,-,,"586,620","$1,753,993",0.19%,
LISTED EQUITY,-,-,-,-,ASX LTD.,-,ASX AU,-,,"24,654","$1,719,873",0.18%,
LISTED EQUITY,-,-,-,-,AMCOR PLC,-,AMC AU,-,,"120,969","$1,717,755",0.18%,
LISTED EQUITY,-,-,-,-,ABBOTT LABORATORIES,-,ABT US,-,,"8,014","$1,663,276",0.18%,
LISTED EQUITY,-,-,-,-,NOVARTIS AG,-,NOVN SW,-,,"8,964","$1,652,548",0.17%,
LISTED EQUITY,-,-,-,-,"ADVANCED MICRO DEVICES, INC.",-,AMD US,-,,"7,519","$1,628,009",0.17%,
LISTED EQUITY,-,-,-,-,REA GROUP LTD.,-,REA AU,-,,"6,699","$1,611,074",0.17%,
LISTED EQUITY,-,-,-,-,ROCHE HOLDING AG,-,ROG SW,-,,"3,238","$1,603,536",0.17%,
LISTED EQUITY,-,-,-,-,WALT DISNEY CO.,-,DIS US,-,,"8,365","$1,582,764",0.17%,
LISTED EQUITY,-,-,-,-,"GOLDMAN SACHS GROUP, INC.",-,GS US,-,,"1,458","$1,574,869",0.17%,
LISTED EQUITY,-,-,-,-,NOVO NORDISK AS,-,NOVOB DC,-,,"14,887","$1,571,122",0.17%,
LISTED EQUITY,-,-,-,-,LINDE PLC,-,LIN US,-,,"2,192","$1,569,422",0.17%,
LISTED EQUITY,-,-,-,-,"INTUIT, INC.",-,INTU US,-,,"1,302","$1,564,251",0.17%,
LISTED EQUITY,-,-,-,-,SONIC HEALTHCARE LTD.,-,SHL AU,-,,"57,950","$1,552,489",0.16%,
LISTED EQUITY,-,-,-,-,TECHNOLOGY ONE LTD.,-,TNE AU,-,,"37,760","$1,548,529",0.16%,
LISTED EQUITY,-,-,-,-,JB HI-FI LTD.,-,JBH AU,-,,"13,906","$1,534,542",0.16%,
LISTED EQUITY,-,-,-,-,HSBC HOLDINGS PLC,-,HSBA LN,-,,"82,625","$1,523,495",0.16%,
LISTED EQUITY,-,-,-,-,ASTRAZENECA PLC,-,AZN LN,-,,"7,154","$1,513,872",0.16%,
LISTED EQUITY,-,-,-,-,"SERVICENOW, INC.",-,NOW US,-,,956,"$1,498,701",0.16%,
LISTED EQUITY,-,-,-,-,LOTTERY CORP. LTD.,-,TLC AU,-,,"280,831","$1,496,829",0.16%,
LISTED EQUITY,-,-,-,-,MCDONALD'S CORP.,-,MCD US,-,,"3,318","$1,479,196",0.16%,
LISTED EQUITY,-,-,-,-,"AT&T, INC.",-,T US,-,,"33,071","$1,460,385",0.15%,
LISTED EQUITY,-,-,-,-,RTX CORP.,-,RTX US,-,,"6,428","$1,432,275",0.15%,
LISTED EQUITY,-,-,-,-,"INTUITIVE SURGICAL, INC.",-,ISRG US,-,,"1,719","$1,425,430",0.15%,
LISTED EQUITY,-,-,-,-,SIEMENS AG,-,SIE GR,-,,"3,616","$1,409,370",0.15%,
LISTED EQUITY,-,-,-,-,"MERCK & CO., INC.",-,MRK US,-,,"11,660","$1,408,426",0.15%,
LISTED EQUITY,-,-,-,-,SGH LTD.,-,SGH AU,-,,"25,872","$1,398,904",0.15%,
LISTED EQUITY,-,-,-,-,"BOOKING HOLDINGS, INC.",-,BKNG US,-,,155,"$1,368,952",0.14%,
LISTED EQUITY,-,-,-,-,"TEXAS INSTRUMENTS, INC.",-,TXN US,-,,"4,256","$1,348,635",0.14%,
LISTED EQUITY,-,-,-,-,"CATERPILLAR, INC.",-,CAT US,-,,"2,235","$1,324,161",0.14%,
LISTED EQUITY,-,-,-,-,ACCENTURE PLC,-,ACN US,-,,"2,891","$1,318,700",0.14%,
LISTED EQUITY,-,-,-,-,ROYAL BANK OF CANADA,-,RY CN,-,,"6,478","$1,300,123",0.14%,
