PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCAEQU] - ASSETS - 2025-06-30,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
LISTED EQUITY,-,-,-,-,NICKEL INDUSTRIES LTD.,-,NIC AU,-,,"1,092,294","$759,144",0.05%,
LISTED EQUITY,-,-,-,-,DOMINO'S PIZZA ENTERPRISES LTD.,-,DMP AU,-,,"39,344","$758,165",0.05%,
LISTED EQUITY,-,-,-,-,JUDO CAPITAL HOLDINGS LTD.,-,JDO AU,-,,"476,149","$745,173",0.05%,
LISTED EQUITY,-,-,-,-,PERENTI LTD.,-,PRN AU,-,,"456,825","$740,056",0.05%,
LISTED EQUITY,-,-,-,-,DEVELOP GLOBAL LTD.,-,DVP AU,-,,"150,786","$738,848",0.05%,
LISTED EQUITY,-,-,-,-,CATALYST METALS LTD.,-,CYL AU,-,,"140,170","$731,689",0.05%,
LISTED EQUITY,-,-,-,-,NRW HOLDINGS LTD.,-,NWH AU,-,,"242,529","$725,163",0.05%,
LISTED EQUITY,-,-,-,-,ELDERS LTD.,-,ELD AU,-,,"114,629","$722,163",0.05%,
LISTED EQUITY,-,-,-,-,RESOLUTE MINING LTD.,-,RSG AU,-,,"1,176,959","$717,945",0.05%,
LISTED EQUITY,-,-,-,-,CATAPULT GROUP INTERNATIONAL LTD.,-,CAT AU,-,,"118,445","$694,091",0.05%,
LISTED EQUITY,-,-,-,-,LIONTOWN RESOURCES LTD.,-,LTR AU,-,,"988,058","$691,640",0.05%,
LISTED EQUITY,-,-,-,-,IPH LTD.,-,IPH AU,-,,"150,649","$689,974",0.05%,
LISTED EQUITY,-,-,-,-,DATA#3 LTD.,-,DTL AU,-,,"87,968","$669,436",0.04%,
LISTED EQUITY,-,-,-,-,MAC COPPER LTD.,-,MAC AU,-,,"36,335","$668,568",0.04%,
LISTED EQUITY,-,-,-,-,REGIS HEALTHCARE LTD.,-,REG AU,-,,"84,348","$661,291",0.04%,
LISTED EQUITY,-,-,-,-,SITEMINDER LTD.,-,SDR AU,-,,"148,991","$660,032",0.04%,
LISTED EQUITY,-,-,-,-,CAPSTONE COPPER CORP.,-,CSC AU,-,,"70,028","$659,664",0.04%,
LISTED EQUITY,-,-,-,-,NANOSONICS LTD.,-,NAN AU,-,,"159,942","$647,764",0.04%,
LISTED EQUITY,-,-,-,-,TUAS LTD.,-,TUA AU,-,,"108,367","$644,785",0.04%,
LISTED EQUITY,-,-,-,-,AMOTIV LTD.,-,AOV AU,-,,"80,165","$642,124",0.04%,
LISTED EQUITY,-,-,-,-,NEWS CORP.,-,NWS AU,-,,"12,325","$639,654",0.04%,
LISTED EQUITY,-,-,-,-,DOMAIN HOLDINGS AUSTRALIA LTD.,-,DHG AU,-,,"145,369","$638,171",0.04%,
LISTED EQUITY,-,-,-,-,SERVICE STREAM LTD.,-,SSM AU,-,,"317,227","$629,696",0.04%,
LISTED EQUITY,-,-,-,-,COLLINS FOODS LTD.,-,CKF AU,-,,"66,383","$617,361",0.04%,
LISTED EQUITY,-,-,-,-,PANTORO GOLD LTD.,-,PNR AU,-,,"202,616","$613,927",0.04%,
LISTED EQUITY,-,-,-,-,INFRATIL LTD.,-,IFT AU,-,,"62,461","$611,496",0.04%,
LISTED EQUITY,-,-,-,-,NEXGEN ENERGY LTD.,-,NXG AU,-,,"57,396","$608,971",0.04%,
LISTED EQUITY,-,-,-,-,OOH!MEDIA LTD.,-,OML AU,-,,"336,415","$580,316",0.04%,
LISTED EQUITY,-,-,-,-,AUSSIE BROADBAND LTD.,-,ABB AU,-,,"145,198","$567,722",0.04%,
LISTED EQUITY,-,-,-,-,HANSEN TECHNOLOGIES LTD.,-,HSN AU,-,,"107,487","$535,287",0.04%,
LISTED EQUITY,-,-,-,-,G8 EDUCATION LTD.,-,GEM AU,-,,"451,237","$532,459",0.04%,
LISTED EQUITY,-,-,-,-,IDP EDUCATION LTD.,-,IEL AU,-,,"144,252","$529,406",0.04%,
