Asset_Class,Management_Type,Name,Dollar_Value,Weighting_Percentage,Security_Identifier,Currency,Listing_Status,Super_Fund,Option_Name,Weighting_Percentage_Clean
Equity,-,Service Stream,629696.0,0.04,SSM AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.04230223371857833
Equity,-,Collins Foods,617361.0,0.04,CKF AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.04147358298406729
Equity,-,Pantoro Gold,613927.0,0.04,PNR AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.04124289091902385
Equity,-,Infratil,611496.0,0.04,IFT AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.0410795792096119
Equity,-,Nexgen Energy,608971.0,0.04,NXG AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.040909952691197606
Equity,-,Ooh!Media,580316.0,0.04,OML AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.038984943627767214
Equity,-,Aussie Broadband,567722.0,0.04,ABB AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.03813889357909011
Equity,-,Hansen Technologies,535287.0,0.04,HSN AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.03595994857918208
Equity,-,G8 Education,532459.0,0.04,GEM AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.03576996687855807
Equity,-,Idp Education,529406.0,0.04,IEL AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.03556486994361991
Equity,-,Srg Global,522493.0,0.04,SRG AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.035100462766670185
Equity,-,Ora Banda Mining,505490.0,0.03,OBM AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.03395822130425501
Equity,-,Eqt,505061.0,0.03,EQT AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.03392940159082937
Equity,-,Nufarm,497504.0,0.03,NUF AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.03342173125433161
Equity,-,Ridley,494869.0,0.03,RIC AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.03324471506580817
