HC SRI Defensive - Class A Option,,,,
HOSTPLUS,,,,
,,,,
Portfolio Holdings Information for Investment Option HC SRI Defensive - Class A Option - Assets,,,,
Cash,,,,
Name of Institution,Currency,,Value (AUD),Weighting (%)
LVMH MOET HENNESSY LOUIS VUI EUR0.30,FR0000121014,2.81,"2,238",0.01%
LYNAS RARE EARTHS LTD,AU000000LYC6,"2,532.76","21,807",0.10%
MACQUARIE GROUP LTD,AU000000MQG1,164.61,"37,652",0.18%
MAGELLAN FINANCIAL GROUP LTD NPV,AU000000MFG4,263.79,"2,258",0.01%
MARRIOTT INTERNATIONAL -CL A,US5719032022,11.62,"4,845",0.02%
MARSH & MCLENNAN COS COM USD1,US5717481023,7.87,"2,626",0.01%
MARVELL TECHNOLOGY INC,US5738741041,10.11,"1,195",0.01%
MASCO CORP COM USD1,US5745991068,12.22,"1,201",0.01%
MASTERCARD INC-CLASS A COM USD0.0001 CLASS 'A',US57636Q1040,17.52,"15,019",0.07%
MEDIBANK PRIVATE LTD MPL,AU000000MPL3,"6,174.76","31,183",0.15%
MEDTRONIC PLC MDT,IE00BTN1Y115,33.84,"4,501",0.02%
MERCADOLIBRE INC COM STK USD0.001,US58733R1023,0.59,"2,340",0.01%
MERCK & CO. INC. COM USD0.50,US58933Y1055,50.96,"6,155",0.03%
MERIDIAN ENERGY LTD,NZMELE0002S7,264.76,"1,447",0.01%
MESOBLAST LTD NPV,AU000000MSB8,"1,554.92","2,573",0.01%
METLIFE INC COM USD0.01,US59156R1086,63.59,"7,803",0.04%
MICRON TECHNOLOGY INC,US5951121038,17.46,"3,284",0.02%
MICROSOFT CORP COM USD0.00000625,US5949181045,95.59,"72,553",0.35%
MICROSTRATEGY INC-CL A,US5949724083,2.79,"1,721",0.01%
MID-AMERICA APARTMENT COMM COM STK USD0.01,US59522J1034,12.27,"2,770",0.01%
MINEBEA MITSUMI INC,JP3906000009,40.66,909,0.00%
MIRVAC GROUP STAPLED SECURITIES,AU000000MGR9,885.6,"1,948",0.01%
MITSUBISHI ESTATE CO LTD NPV,JP3899600005,55.07,"1,573",0.01%
MITSUBISHI UFJ FINANCIAL GRO NPV,JP3902900004,198.16,"4,151",0.02%
MITSUI FUDOSAN CO LTD NPV,JP3893200000,76.69,"1,130",0.01%
MIZUHO FINANCIAL GROUP INC,JP3885780001,25.22,"1,064",0.01%
MOLINA HEALTHCARE INC COM USD0.001,US60855R1005,4.17,"1,895",0.01%
MONDI PLC,GB00BMWC6P49,45.92,"1,142",0.01%
MONGODB INC MDB,US60937P1066,2.74,879,0.00%
MORGAN STANLEY COM STK USD0.01,US6174464486,26.28,"5,648",0.03%
MOTOROLA SOLUTIONS INC COM USD0.01,US6200763075,2.82,"1,810",0.01%
MOWI ASA,NO0003054108,44.84,"1,316",0.01%
MSCI INC-A COM STK USS0.01,US55354G1004,1.15,"1,010",0.00%
MTR CORP,HK0066009694,689.7,"3,781",0.02%
NATIONAL AUSTRALIA BANK LTD NPV,AU000000NAB4,"1,984.46","78,108",0.37%
NATIONAL BANK OF CANADA COM NPV,CA6330671034,16.41,"2,579",0.01%
NETAPP INC COM USD0.001,US64110D1046,19.17,"3,116",0.01%
NETFLIX INC COM USD0.001,US64110L1061,6.92,"14,135",0.07%
NETWEALTH GROUP LTD NWL,AU000000NWL7,101.42,"3,407",0.02%
NEUREN PHARMACEUTICALS LTD NEU,NZNEUE0001S8,408.45,"5,763",0.03%
NEUROCRINE BIOSCIENCES INC COM USD0.001,US64125C1099,8.37,"1,606",0.01%
NEWMONT CORP-CDI,AU0000297962,64.59,"5,639",0.03%
NEWS CORP - CLASS A NEWS CORP/NEW-CL A-W/I,US65249B1098,35.21,"1,597",0.01%
NEWS CORP - CLASS B- CDI,AU000000NWS2,243.92,"12,659",0.06%
NEXTDC LTD NPV,AU000000NXT8,265.48,"3,849",0.02%
