HC SRI - Class A Option,,,,
HOSTPLUS,,,,
,,,,
Table 1 - Assets HC SRI - Class A Option - Assets,,,,
Portfolio Holdings Information for Investment Option HC SRI - Class A Option - Assets,,,,
Cash,,,,
Name of Institution,Currency,,Value (AUD),Weighting (%)
FUJIFILM HOLDINGS CORP NPV,JP3814000000,"3,459.13","114,815",0.02%
FUJIKURA LIMITED SHS,JP3811000003,"1,614.26","129,107",0.02%
FUTU HOLDINGS LTD-ADR,US36118L1061,781.76,"147,430",0.02%
GARMIN LTD COM CHF10.00,CH0114405324,488.31,"155,521",0.02%
GARTNER INC COM STK USD0.0005,US3666511072,133.18,"82,143",0.01%
GE HEALTHCARE TECHNOLOG-W/I,US36266G1076,"3,890.37","439,703",0.07%
GEBERIT AG-REG CHF0.10(REGD) (POST SUBD),CH0030170408,432.39,"517,219",0.08%
GEN DIGITAL INC,US6687711084,"11,337.87","508,634",0.08%
GENERAL ELECTRIC CO,US3696043013,442.19,"173,672",0.03%
GENUINE PARTS CO COM,US3724601055,790.99,"146,417",0.02%
GILDAN ACTIVEWEAR INC COM NPV,CA3759161035,"1,361.17","102,138",0.02%
GILEAD SCIENCES INC COM USD0.001,US3755581036,"3,795.24","642,067",0.10%
GLOBAL PAYMENTS INC COM NPV,US37940X1028,879.2,"107,379",0.02%
GODADDY INC - CLASS A GDDY,US3802371076,"1,135.75","312,051",0.05%
GOLDMAN SACHS GROUP INC COM STK USD0.01,US38141G1040,680.3,"734,690",0.12%
GOODMAN GROUP,AU000000GMG2,"122,666.16","4,200,089",0.67%
GPT GROUP NPV (STAPLED SECURITIES),AU000000GPT8,"547,927.57","2,651,969",0.42%
GREAT-WEST LIFECO INC COM,CA39138C1068,"8,451.23","489,462",0.08%
HANG SENG BANK,HK0011000095,"5,534.61","126,518",0.02%
HARTFORD INSURANCE GROUP INC,US4165151048,"3,804.47","736,511",0.12%
HCA HEALTHCARE INC,US40412C1018,"1,195.13","698,640",0.11%
HEALTHPEAK PROPERTIES INC,US42250P1030,"4,054.10","108,320",0.02%
HELIA GROUP LTD,AU0000251498,"22,925.41","129,070",0.02%
HENNES & MAURITZ AB-B SHS SER'B'NPV,SE0000106270,"3,863.27","82,204",0.01%
HERMES INTERNATIONAL NPV,FR0000052292,44.97,"185,178",0.03%
HEWLETT PACKARD ENTERPRIS-WI HPE-W,US42824C1099,"7,083.72","221,045",0.04%
HIKMA PHARMACEUTICALS PLC,GB00B0LCW083,"2,381.61","99,002",0.02%
HILTON WORLDWIDE HOLDINGS IN HLT-W,US43300A2033,285.95,"116,214",0.02%
HKT TRUST AND HKT LTD SHARE STAPLED UNIT,HK0000093390,"81,289.54","185,191",0.03%
HOLOGIC INC COM USD0.01,US4364401012,"2,329.72","231,639",0.04%
HOMECO DAILY NEEDS REIT,AU0000113136,"675,761.99","848,081",0.14%
HONG KONG EXCHANGES & CLEAR HKD1,HK0388045442,"7,033.56","572,586",0.09%
HONGKONG LAND HOLDINGS LTD HKHGF,BMG4587L1090,"50,733.89","446,684",0.07%
HOYA CORP NPV,JP3837800006,749.48,"135,823",0.02%
HP INC HPQ,US40434L1052,"18,084.33","674,972",0.11%
HUBBELL INC -CL B,US4435106079,506.19,"315,452",0.05%
HUBSPOT INC HUBS,US4435731009,257.13,"218,396",0.03%
HUMANA INC COM USD0.166,US4448591028,379.35,"141,518",0.02%
HYDRO ONE LTD H,CA4488112083,"1,973.43","108,291",0.02%
IA FINANCIAL CORP INC,CA45075E1043,"1,600.42","267,189",0.04%
IDP EDUCATION LTD IEL,AU000000IEL5,"160,242.26","588,089",0.09%
